Plot Title: Puerto Montt CHILE Site Y,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20462593, SEN S/N: 20462593)",Coupler Attached (LGR S/N: 20462593),Host Connected (LGR S/N: 20462593),Stopped (LGR S/N: 20462593),End Of File (LGR S/N: 20462593)
1255,2/25/2019 13:00,61.912,,,,
1256,2/25/2019 13:30,61.912,,,,
1257,2/25/2019 14:00,62.083,,,,
1258,2/25/2019 14:30,62.254,,,,
1259,2/25/2019 15:00,62.254,,,,
1260,2/25/2019 15:30,62.254,,,,
1261,2/25/2019 16:00,62.083,,,,
1262,2/25/2019 16:30,62.083,,,,
1263,2/25/2019 17:00,62.083,,,,
1264,2/25/2019 17:30,61.912,,,,
1265,2/25/2019 18:00,61.741,,,,
1266,2/25/2019 18:30,61.569,,,,
1267,2/25/2019 19:00,61.569,,,,
1268,2/25/2019 19:30,61.569,,,,
1269,2/25/2019 20:00,61.569,,,,
1270,2/25/2019 20:30,61.569,,,,
1271,2/25/2019 21:00,61.569,,,,
1272,2/25/2019 21:30,61.569,,,,
1273,2/25/2019 22:00,61.569,,,,
1274,2/25/2019 22:30,61.569,,,,
1275,2/25/2019 23:00,61.569,,,,
1276,2/25/2019 23:30,61.569,,,,
1277,2/26/2019 0:00,61.569,,,,
1278,2/26/2019 0:30,61.227,,,,
1279,2/26/2019 1:00,61.398,,,,
1280,2/26/2019 1:30,61.227,,,,
1281,2/26/2019 2:00,61.398,,,,
1282,2/26/2019 2:30,61.398,,,,
1283,2/26/2019 3:00,61.398,,,,
1284,2/26/2019 3:30,61.227,,,,
1285,2/26/2019 4:00,61.227,,,,
1286,2/26/2019 4:30,61.054,,,,
1287,2/26/2019 5:00,61.054,,,,
1288,2/26/2019 5:30,61.054,,,,
1289,2/26/2019 6:00,61.054,,,,
1290,2/26/2019 6:30,61.054,,,,
1291,2/26/2019 7:00,61.054,,,,
1292,2/26/2019 7:30,61.054,,,,
1293,2/26/2019 8:00,60.883,,,,
1294,2/26/2019 8:30,61.227,,,,
1295,2/26/2019 9:00,61.398,,,,
1296,2/26/2019 9:30,61.227,,,,
1297,2/26/2019 10:00,61.398,,,,
1298,2/26/2019 10:30,61.398,,,,
1299,2/26/2019 11:00,61.398,,,,
1300,2/26/2019 11:30,61.569,,,,
1301,2/26/2019 12:00,61.569,,,,
1302,2/26/2019 12:30,61.741,,,,
